GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Montgomery, IN",2013,0.016992043,0.028764103,0.034510084,0.024857713,0.01817502
"Morgan, IN",2013,0.01551197,0.058215651,0.06867732,0.028614996,0.015824613
"Newton, IN",2013,0.003513804,0.008401755,0.008618626,0.00395,0.002740587
"Noble, IN",2013,0.019615979,0.033442127,0.044320051,0.029582802,0.019830551
"Ohio, IN",2013,0,0,0,0,1.64E-06
"Orange, IN",2013,0.005455338,0.009846953,0.014974243,0.010942683,0.006483327
"Owen, IN",2013,0.003784364,0.011424017,0.016495494,0.007265581,0.00418885
"Parke, IN",2013,0.002518786,0.008043925,0.011856271,0.004388889,0.001724127
"Perry, IN",2013,0.006451972,0.009829811,0.014470753,0.008748238,0.006340527
"Pike, IN",2013,0.009766682,0.005835919,0.006943202,0.003309954,0.003961415
"Porter, IN",2013,0.074717679,0.174469971,0.173866824,0.106018405,0.080915914
"Posey, IN",2013,0.015723911,0.021996326,0.021053857,0.01327217,0.013240943
"Pulaski, IN",2013,0.005175612,0.007807854,0.007510302,0.005684456,0.003927606
"Putnam, IN",2013,0.010460554,0.023838861,0.033695012,0.021356448,0.012710673
"Randolph, IN",2013,0.008253518,0.016234971,0.021217734,0.011232462,0.006606182
"Ripley, IN",2013,0.011143432,0.019919944,0.024220345,0.019910365,0.015681277
"Rush, IN",2013,0.004954956,0.011342587,0.011888616,0.006785898,0.004104814
"Scott, IN",2013,0.005292447,0.013289449,0.019334229,0.010368751,0.006243069
"Shelby, IN",2013,0.020421593,0.036594635,0.041387519,0.028520747,0.020917308
"Spencer, IN",2013,0.01479289,0.014058203,0.015774221,0.010709171,0.006836011
"St. Joseph, IN",2013,0.139686261,0.246431013,0.282006111,0.209523046,0.159791316
"Starke, IN",2013,0.003857137,0.012627052,0.018590314,0.006300588,0.003066992
"Steuben, IN",2013,0.013808878,0.024736749,0.030470305,0.025085597,0.014784018
"Sullivan, IN",2013,0.012066094,0.011327161,0.016398462,0.008604755,0.006720372
"Switzerland, IN",2013,0.001406042,0.001933322,0.004604723,0.001609259,0.001064259
"Tippecanoe, IN",2013,0.089594717,0.138640028,0.186645981,0.144530909,0.112643378
"Tipton, IN",2013,0.004473499,0.010502532,0.010336098,0.005656322,0.003701211
"Union, IN",2013,0.000451523,0.001050546,0.001399422,0.000317913,0
"Vanderburgh, IN",2013,0.114885681,0.165539087,0.188607112,0.175448665,0.142142754
"Vermillion, IN",2013,0.008998838,0.007877461,0.010641211,0.005130218,0.005113806
"Vigo, IN",2013,0.0565315,0.081469604,0.110048667,0.082858574,0.061006811
"Wabash, IN",2013,0.01219403,0.023503347,0.028373329,0.019990547,0.012201041
"Warren, IN",2013,0.002120099,0.004027547,0.00262742,0.000942486,0.000926689
"Warrick, IN",2013,0.023805015,0.06262772,0.05940103,0.029599683,0.020143848
"Washington, IN",2013,0.005620522,0.017004983,0.023493681,0.010197134,0.005032827
"Wayne, IN",2013,0.028343319,0.052230942,0.066908097,0.049839215,0.033722603
"Wells, IN",2013,0.011501203,0.020634734,0.023426837,0.017255931,0.011489151
"White, IN",2013,0.00955296,0.018097162,0.020003752,0.014380646,0.008804808
"Whitley, IN",2013,0.01208654,0.025697668,0.029400793,0.019468663,0.013019275
"Adams, IN",2014,0.015336398,0.024243712,0.030804224,0.024770366,0.0138745
"Allen, IN",2014,0.205768987,0.340608691,0.3860478,0.316976059,0.249326666
"Bartholomew, IN",2014,0.071020258,0.079737058,0.078819742,0.0788795,0.077557856
"Benton, IN",2014,0.003352054,0.0029542,0.002921865,0.002377844,0.001456476
"Blackford, IN",2014,0.002223555,0.004948223,0.006952134,0.003527922,0.002243083
"Boone, IN",2014,0.031190516,0.085724079,0.060301045,0.048802685,0.032313802
"Brown, IN",2014,0.001752428,0.009294158,0.009757381,0.005026213,0.00124139
"Carroll, IN",2014,0.005544382,0.013206483,0.014991275,0.007967304,0.004575089
"Cass, IN",2014,0.014161363,0.026284201,0.034955391,0.023051493,0.015234229
"Clark, IN",2014,0.05307717,0.098339024,0.116536515,0.08576193,0.061061693
"Clay, IN",2014,0.006485296,0.015806119,0.021976576,0.012176393,0.006461029
"Clinton, IN",2014,0.01379604,0.021933834,0.028756458,0.017471744,0.012328238
"Crawford, IN",2014,0.000855324,0.002465966,0.00497712,0.001956103,0.000599765
"Daviess, IN",2014,0.01097781,0.023457376,0.028512524,0.0207555,0.011285548
"DeKalb, IN",2014,0.02522586,0.032584083,0.038847645,0.0338711,0.028276105
"Dearborn, IN",2014,0.016850607,0.043052806,0.046911393,0.024297294,0.015548742
"Decatur, IN",2014,0.013357954,0.01850498,0.021816093,0.02087897,0.016466625
"Delaware, IN",2014,0.042134547,0.083907785,0.117485506,0.078244113,0.054988977
"Dubois, IN",2014,0.027580686,0.044904037,0.039338723,0.044367464,0.034760698
"Elkhart, IN",2014,0.13563744,0.177199619,0.209474503,0.202352595,0.168151644
"Fayette, IN",2014,0.005166915,0.014539777,0.018885669,0.009399005,0.005923113
"Floyd, IN",2014,0.028516741,0.079374053,0.075718136,0.050858674,0.034838687
"Fountain, IN",2014,0.00450422,0.009004755,0.011448875,0.007193187,0.003944461
"Franklin, IN",2014,0.004599069,0.016880774,0.018208429,0.008106035,0.003299109
"Fulton, IN",2014,0.00591543,0.012846285,0.015748756,0.010239713,0.006178242
"Gibson, IN",2014,0.032223139,0.026575892,0.029340617,0.030162828,0.030232396
"Grant, IN",2014,0.038361134,0.051927782,0.06734305,0.046044718,0.032641036
"Greene, IN",2014,0.005805874,0.021792692,0.027899478,0.012464953,0.00590685
"Hamilton, IN",2014,0.181561643,0.455581331,0.31957457,0.248198929,0.211728233
"Hancock, IN",2014,0.02390921,0.06829399,0.070649005,0.041416662,0.027986079
"Harrison, IN",2014,0.009864873,0.029385413,0.035079498,0.019218364,0.01015181
"Hendricks, IN",2014,0.059172555,0.152885749,0.161349857,0.104360167,0.067701247
"Henry, IN",2014,0.011853361,0.033172297,0.046299417,0.020892843,0.012248463
"Howard, IN",2014,0.050551937,0.06620984,0.082420986,0.063964563,0.056468185
"Huntington, IN",2014,0.014685732,0.026807891,0.032884087,0.023582831,0.01516123
"Jackson, IN",2014,0.021365159,0.035057122,0.041315877,0.031931645,0.025066166
"Jasper, IN",2014,0.017027871,0.02760203,0.029235768,0.019221138,0.012824172
"Jay, IN",2014,0.009090821,0.013405431,0.016234485,0.012138936,0.007186434
"Jefferson, IN",2014,0.014799537,0.023102859,0.028712593,0.019615133,0.013921904
"Jennings, IN",2014,0.006018949,0.01753825,0.023510796,0.011196955,0.007330338
"Johnson, IN",2014,0.049310106,0.142662439,0.151688765,0.090366402,0.05642805
"Knox, IN",2014,0.019206426,0.030786225,0.034114459,0.028622917,0.020467853
"Kosciusko, IN",2014,0.055775893,0.072716001,0.077947783,0.063175185,0.056064686
"LaPorte, IN",2014,0.046181886,0.091891635,0.114364641,0.071204918,0.05089707
"Lagrange, IN",2014,0.015193109,0.026887408,0.034899757,0.026002295,0.015031463
"Lake, IN",2014,0.279072878,0.439528244,0.524238855,0.332980032,0.282522251
"Lawrence, IN",2014,0.012872858,0.032704314,0.04224347,0.022954381,0.013574433
"Madison, IN",2014,0.038935271,0.096395427,0.132647963,0.068850658,0.044450147
"Marion, IN",2014,1,1,1,1,1
"Marshall, IN",2014,0.017909136,0.03541046,0.043786249,0.031838695,0.020828322
"Martin, IN",2014,0.008577892,0.003234692,0.004429338,0.008801075,0.013335845
"Miami, IN",2014,0.008937684,0.021749314,0.032487159,0.015615527,0.009854761
"Monroe, IN",2014,0.068103197,0.113324128,0.143419598,0.11673772,0.079967421
"Montgomery, IN",2014,0.016325268,0.027943392,0.034242845,0.025108869,0.018534109
"Morgan, IN",2014,0.015111051,0.057944083,0.068460013,0.028754712,0.016111515
"Newton, IN",2014,0.003313612,0.007516009,0.008630789,0.004045387,0.002763011
"Noble, IN",2014,0.020323301,0.034253152,0.044095447,0.030264102,0.020974906
"Ohio, IN",2014,0,0,0,0,3.79E-06
"Orange, IN",2014,0.00528409,0.009657139,0.014836141,0.010729432,0.006470917
"Owen, IN",2014,0.003892656,0.011461268,0.016295469,0.007386022,0.004272034
"Parke, IN",2014,0.002135102,0.007454031,0.011717417,0.004539268,0.001728329
"Perry, IN",2014,0.007007969,0.010287198,0.014296918,0.009125705,0.006735593
"Pike, IN",2014,0.009571541,0.005528987,0.00689436,0.003576477,0.004175749
"Porter, IN",2014,0.073127931,0.174925811,0.173559422,0.106536852,0.08171152
"Posey, IN",2014,0.01256221,0.021751884,0.020952693,0.012728541,0.01276454
"Pulaski, IN",2014,0.004969298,0.007096402,0.007461401,0.005744838,0.004117164
"Putnam, IN",2014,0.009727448,0.023340964,0.03333344,0.021114812,0.0125862
"Randolph, IN",2014,0.008130846,0.016220068,0.020795419,0.01119418,0.006613681
"Ripley, IN",2014,0.011123755,0.020078996,0.024164497,0.019891207,0.015973309
"Rush, IN",2014,0.004616397,0.010619743,0.011669272,0.007291685,0.004550756
"Scott, IN",2014,0.005437515,0.013626326,0.019142442,0.010753016,0.006719269
"Shelby, IN",2014,0.019459376,0.035154816,0.041138276,0.028980843,0.021534567
"Spencer, IN",2014,0.014801327,0.013910473,0.015634278,0.010796023,0.007000054
"St. Joseph, IN",2014,0.144141805,0.251953163,0.280893827,0.210496087,0.162219752
"Starke, IN",2014,0.003709342,0.012158185,0.018304719,0.006356641,0.003092771
"Steuben, IN",2014,0.013981732,0.025149619,0.030353801,0.025590264,0.015207001
"Sullivan, IN",2014,0.011086743,0.010724274,0.016167082,0.008826047,0.006722472
"Switzerland, IN",2014,0.001245918,0.00195753,0.004456085,0.001639797,0.000994485
"Tippecanoe, IN",2014,0.092822985,0.142439162,0.186908419,0.145840646,0.115743457
"Tipton, IN",2014,0.004289009,0.009916202,0.010147891,0.005880794,0.004098376
"Union, IN",2014,0.000245942,0.000794257,0.001346989,0.000285785,0
"Vanderburgh, IN",2014,0.115113001,0.168419697,0.187363121,0.175752371,0.146023225
"Vermillion, IN",2014,0.008314956,0.007570372,0.010385406,0.005287027,0.005207874
"Vigo, IN",2014,0.057133779,0.082029231,0.108894303,0.081692958,0.06009074
"Wabash, IN",2014,0.012270437,0.023265949,0.028017165,0.020143697,0.012602063
"Warren, IN",2014,0.001774512,0.003205978,0.002622296,0.001064064,0.000876146
"Warrick, IN",2014,0.023347506,0.064792691,0.059161614,0.029968605,0.021215157
"Washington, IN",2014,0.005674637,0.017240855,0.023454092,0.010318789,0.005124771
"Wayne, IN",2014,0.028426879,0.053222012,0.066064534,0.050325948,0.034339581
"Wells, IN",2014,0.0121774,0.020213796,0.023383479,0.016973701,0.011997277
"White, IN",2014,0.009530154,0.017120246,0.019958767,0.015025922,0.009639028
"Whitley, IN",2014,0.012249611,0.025729817,0.029368434,0.020041037,0.013695883
"Adams, IN",2015,0.016741957,0.022778717,0.03091918,0.025060641,0.013961809
"Allen, IN",2015,0.225173631,0.343814706,0.386821734,0.319831166,0.253708207
"Bartholomew, IN",2015,0.073941987,0.080159451,0.07926538,0.079439777,0.079070502
"Benton, IN",2015,0.002665229,0.001569827,0.002954868,0.002394102,0.001424214
"Blackford, IN",2015,0.001977329,0.004601485,0.006915264,0.003468501,0.002401695
"Boone, IN",2015,0.033291447,0.089357475,0.061751108,0.049907497,0.033503232
"Brown, IN",2015,0.001745599,0.009295883,0.009874389,0.005062285,0.001300944
"Carroll, IN",2015,0.004905285,0.011671837,0.014926501,0.007764728,0.004432573
"Cass, IN",2015,0.014306473,0.024920591,0.03445502,0.022709021,0.014960558
"Clark, IN",2015,0.05679381,0.099249994,0.117050878,0.08883255,0.063570808
"Clay, IN",2015,0.007035499,0.015288457,0.021920505,0.012086993,0.006904012
"Clinton, IN",2015,0.014767827,0.020417711,0.028682546,0.01752477,0.012131331
"Crawford, IN",2015,0.000780038,0.002372499,0.004899953,0.001974757,0.000674311
"Daviess, IN",2015,0.01286926,0.023349409,0.028583589,0.021144016,0.011389285
"DeKalb, IN",2015,0.02700821,0.032448017,0.038750592,0.034367077,0.028735084
"Dearborn, IN",2015,0.0193472,0.043321766,0.046876746,0.024408327,0.01576647
"Decatur, IN",2015,0.013812943,0.017527671,0.021688542,0.020678078,0.016331601
"Delaware, IN",2015,0.04398663,0.082417134,0.115986827,0.078791575,0.055363726
"Dubois, IN",2015,0.030984223,0.044066161,0.039340076,0.044889066,0.035037808
"Elkhart, IN",2015,0.157986402,0.177808187,0.210172323,0.205059544,0.172110612
"Fayette, IN",2015,0.005161568,0.013618987,0.018852847,0.009200915,0.005816111
"Floyd, IN",2015,0.030281781,0.08018282,0.075991296,0.051501281,0.035868622
"Fountain, IN",2015,0.004024953,0.008132506,0.011298088,0.006554659,0.003499964
"Franklin, IN",2015,0.004716337,0.016761735,0.018146318,0.007926437,0.003273776
"Fulton, IN",2015,0.005558608,0.012153522,0.015597917,0.010187609,0.006187016
"Gibson, IN",2015,0.033479254,0.025267161,0.029097526,0.030582012,0.030150052
"Grant, IN",2015,0.039705025,0.050992005,0.066290347,0.045535898,0.032400147
"Greene, IN",2015,0.005842774,0.020825719,0.027443991,0.012071919,0.005617868
"Hamilton, IN",2015,0.202386635,0.46375124,0.324461989,0.258889148,0.22104409
"Hancock, IN",2015,0.025700744,0.069149549,0.071116881,0.041257486,0.028274407
"Harrison, IN",2015,0.010135032,0.029044456,0.035245609,0.019093887,0.010063291
"Hendricks, IN",2015,0.066456227,0.154734697,0.162851868,0.112152773,0.072927442
"Henry, IN",2015,0.011846803,0.032136129,0.045976559,0.020728783,0.011998637
"Howard, IN",2015,0.05103,0.065187533,0.081874431,0.063581423,0.05631013
"Huntington, IN",2015,0.015523502,0.026104944,0.032712105,0.023435337,0.015047288
"Jackson, IN",2015,0.0247112,0.034326774,0.041579902,0.032064793,0.025550607
"Jasper, IN",2015,0.015880852,0.025883644,0.02907518,0.018992476,0.012746532
"Jay, IN",2015,0.010773123,0.013152047,0.016231027,0.011826616,0.006822038
"Jefferson, IN",2015,0.015170028,0.023097176,0.028622959,0.019984651,0.014043399
"Jennings, IN",2015,0.006391938,0.017121604,0.023379318,0.011174302,0.007261417
"Johnson, IN",2015,0.055027557,0.143594716,0.153123254,0.091788519,0.058096919
"Knox, IN",2015,0.019484461,0.028748667,0.033771899,0.028448288,0.01965267
"Kosciusko, IN",2015,0.059800373,0.077066603,0.077906587,0.062938702,0.063458586
"LaPorte, IN",2015,0.045954791,0.089242275,0.113138364,0.070173082,0.049320216
"Lagrange, IN",2015,0.017216118,0.026448963,0.035026415,0.026517384,0.015279739
"Lake, IN",2015,0.273509949,0.436092635,0.51934497,0.330028367,0.273932211
"Lawrence, IN",2015,0.01343205,0.032224708,0.04195764,0.022909101,0.013904945
"Madison, IN",2015,0.041274613,0.094730224,0.131691149,0.069057571,0.044800145
"Marion, IN",2015,1,1,1,1,1
"Marshall, IN",2015,0.017325972,0.034299657,0.043418582,0.031613929,0.020577629
"Martin, IN",2015,0.009652964,0.003167608,0.004429642,0.008937797,0.013039274
"Miami, IN",2015,0.009200218,0.020540339,0.032385442,0.015554124,0.010011802
"Monroe, IN",2015,0.07129061,0.114193507,0.142755146,0.1163147,0.081658595
"Montgomery, IN",2015,0.017751822,0.027390724,0.034194328,0.025680065,0.019015728
"Morgan, IN",2015,0.015640098,0.056687797,0.068353541,0.029104713,0.016495637
"Newton, IN",2015,0.002941475,0.006730534,0.008529429,0.003994738,0.002699783
"Noble, IN",2015,0.021266849,0.033399239,0.044039987,0.030647792,0.020837286
"Ohio, IN",2015,0,0,0,0,0
"Orange, IN",2015,0.005904258,0.009631886,0.014706242,0.010986556,0.006551126
"Owen, IN",2015,0.003950995,0.011514504,0.016128878,0.00736731,0.004408734
"Parke, IN",2015,0.002173673,0.006991393,0.011382148,0.004695016,0.001812016
"Perry, IN",2015,0.007880184,0.009974324,0.01427743,0.009117321,0.00667097
"Pike, IN",2015,0.007657848,0.005203314,0.00683014,0.003142344,0.003292534
"Porter, IN",2015,0.076391526,0.172234821,0.173144429,0.106146277,0.080093445
"Posey, IN",2015,0.014256082,0.020428345,0.020920297,0.01271601,0.012929355
"Pulaski, IN",2015,0.00484512,0.006235482,0.007394087,0.005736525,0.004221628
"Putnam, IN",2015,0.010650844,0.02279599,0.033078139,0.021278316,0.012965571
"Randolph, IN",2015,0.007819115,0.016161554,0.020574481,0.011140042,0.006621373
"Ripley, IN",2015,0.011469751,0.018922079,0.024201829,0.019661235,0.015347267
"Rush, IN",2015,0.003870308,0.009491443,0.011549204,0.007412534,0.004669543
"Scott, IN",2015,0.005825176,0.013279959,0.01920292,0.010774143,0.00681102
"Shelby, IN",2015,0.020224345,0.03344381,0.04099361,0.029337682,0.022124375
"Spencer, IN",2015,0.013140536,0.013222178,0.01545959,0.010922147,0.006920672
"St. Joseph, IN",2015,0.153765319,0.256861703,0.280146413,0.212599526,0.164646462
"Starke, IN",2015,0.00366243,0.011565443,0.018213353,0.006706774,0.003212244
"Steuben, IN",2015,0.014256319,0.024067906,0.030210522,0.025619767,0.015542527
"Sullivan, IN",2015,0.009566451,0.009993223,0.016055458,0.008528045,0.006080967
"Switzerland, IN",2015,0.001233378,0.001771393,0.004459436,0.001654082,0.001015823
"Tippecanoe, IN",2015,0.101181047,0.14169934,0.187413346,0.145966206,0.117286317
"Tipton, IN",2015,0.004112073,0.009085444,0.010020164,0.006161352,0.004309864
"Union, IN",2015,7.21E-05,0.000411756,0.001360921,0.000300119,5.14E-05
"Vanderburgh, IN",2015,0.121724717,0.166310301,0.185760876,0.175934275,0.147257741
"Vermillion, IN",2015,0.008002999,0.007047841,0.010346827,0.005299366,0.004829237
"Vigo, IN",2015,0.05515187,0.079092894,0.10792558,0.08049225,0.059029498
"Wabash, IN",2015,0.012634011,0.022473422,0.027706812,0.019705088,0.012034882
"Warren, IN",2015,0.001035239,0.002043857,0.002636717,0.001166217,0.000864608
"Warrick, IN",2015,0.024057888,0.064999086,0.05960811,0.030091406,0.021168518
"Washington, IN",2015,0.006223072,0.016844398,0.023289938,0.010368503,0.005107918
"Wayne, IN",2015,0.028872855,0.050335331,0.065447619,0.049582711,0.033650903
"Wells, IN",2015,0.01196051,0.01914024,0.023380382,0.016803936,0.011087533
"White, IN",2015,0.009685984,0.016046038,0.019811557,0.014871661,0.009419377
"Whitley, IN",2015,0.012851947,0.025090004,0.029284798,0.020405367,0.013802559
"Adams, IN",2016,0.016692404,0.022443537,0.030937036,0.024918969,0.013802125
"Allen, IN",2016,0.226116349,0.342051851,0.38648217,0.318648136,0.249936134
"Bartholomew, IN",2016,0.071590292,0.079455316,0.079325598,0.079179496,0.077008875
"Benton, IN",2016,0.003679959,0.002241824,0.002866516,0.002278877,0.001390698
"Blackford, IN",2016,0.002033912,0.004323772,0.006739586,0.003556184,0.002285223
"Boone, IN",2016,0.031951035,0.093305142,0.062731703,0.050361025,0.033928422
"Brown, IN",2016,0.001847163,0.009435191,0.009832128,0.004832139,0.001377481
"Carroll, IN",2016,0.005150783,0.012126701,0.014883914,0.00780306,0.00430353
"Cass, IN",2016,0.014156186,0.024660968,0.034060207,0.022583322,0.014863664
"Clark, IN",2016,0.056490389,0.099376828,0.117198673,0.089668279,0.065107695
"Clay, IN",2016,0.007271013,0.015323704,0.021558016,0.012064803,0.006724861
"Clinton, IN",2016,0.015560063,0.020307186,0.02831767,0.017217283,0.011874888
"Crawford, IN",2016,0.000800691,0.002401657,0.004846883,0.001827427,0.000658459
"Daviess, IN",2016,0.011961901,0.022667119,0.028532078,0.021138411,0.011409394
"DeKalb, IN",2016,0.026829929,0.032915841,0.038573333,0.0345454,0.027954801
"Dearborn, IN",2016,0.018467548,0.042320013,0.046579298,0.024693244,0.015258911
"Decatur, IN",2016,0.014730569,0.017851147,0.021740738,0.020623434,0.016991102
"Delaware, IN",2016,0.042736056,0.081467768,0.114805333,0.07866587,0.053602985
"Dubois, IN",2016,0.029471226,0.042271642,0.039283096,0.045422106,0.034738115
"Elkhart, IN",2016,0.168230342,0.180178042,0.209321141,0.206296514,0.180148891
"Fayette, IN",2016,0.005167002,0.013952052,0.01858588,0.00929663,0.005807433
"Floyd, IN",2016,0.031235109,0.082662344,0.075822196,0.05199787,0.036945485
"Fountain, IN",2016,0.00392933,0.008442719,0.011105901,0.005989149,0.003391372
"Franklin, IN",2016,0.004348287,0.016470348,0.017804295,0.008515378,0.003333517
"Fulton, IN",2016,0.005744802,0.011964082,0.01529583,0.009896761,0.005838084
"Gibson, IN",2016,0.037338248,0.025557838,0.028794014,0.030514788,0.030373624
"Grant, IN",2016,0.035631155,0.049410978,0.065046885,0.044111008,0.031398873
"Greene, IN",2016,0.005903243,0.020661906,0.026872794,0.011666067,0.005374385
"Hamilton, IN",2016,0.205590561,0.477252812,0.330589336,0.265490553,0.224265901
"Hancock, IN",2016,0.027016482,0.071026307,0.072063194,0.042368735,0.029172303
"Harrison, IN",2016,0.010403632,0.029369492,0.035001278,0.018502699,0.01037241
"Hendricks, IN",2016,0.068588322,0.158725309,0.164633489,0.116928301,0.074782049
"Henry, IN",2016,0.011678735,0.032405873,0.045373122,0.020373379,0.01202897
"Howard, IN",2016,0.048403904,0.064433575,0.081364056,0.064365442,0.055210179
"Huntington, IN",2016,0.014716179,0.025583438,0.032236157,0.022495465,0.014656028
"Jackson, IN",2016,0.024056866,0.033231514,0.041583491,0.03191915,0.026082856
"Jasper, IN",2016,0.015109887,0.02554586,0.0286979,0.018898732,0.012664954
"Jay, IN",2016,0.008279135,0.011262538,0.015973908,0.01139709,0.006626754
"Jefferson, IN",2016,0.014767677,0.022564849,0.028443357,0.019623215,0.013621379
"Jennings, IN",2016,0.006082664,0.016999357,0.023017679,0.010917255,0.007034136
"Johnson, IN",2016,0.05588711,0.146157061,0.154895363,0.093869198,0.059514393
"Knox, IN",2016,0.019768303,0.028627694,0.033034641,0.027870966,0.019545805
"Kosciusko, IN",2016,0.053452439,0.069748261,0.077638853,0.063134092,0.05360384
"LaPorte, IN",2016,0.0447109,0.089275764,0.111964165,0.068993482,0.048102777
"Lagrange, IN",2016,0.017510856,0.026879517,0.035321305,0.027066736,0.015679767
"Lake, IN",2016,0.260473575,0.434921962,0.514725484,0.326453899,0.265760098
"Lawrence, IN",2016,0.013271202,0.032495968,0.041568704,0.022613059,0.014029844
"Madison, IN",2016,0.040617206,0.094603239,0.130665171,0.068771812,0.044707986
"Marion, IN",2016,1,1,1,1,1
"Marshall, IN",2016,0.017423169,0.034319455,0.042945984,0.03143526,0.020318437
"Martin, IN",2016,0.009398006,0.002965853,0.004316673,0.00891141,0.012990238
"Miami, IN",2016,0.009289385,0.020366964,0.032215033,0.015291185,0.009857521
"Monroe, IN",2016,0.071937586,0.117071697,0.142347755,0.116215982,0.081571431
"Montgomery, IN",2016,0.017049706,0.026976917,0.033862699,0.024870309,0.018472216
"Morgan, IN",2016,0.016523922,0.057411799,0.068025357,0.030589129,0.018385817
"Newton, IN",2016,0.00239057,0.006454047,0.008466467,0.003952217,0.002660131
"Noble, IN",2016,0.02071378,0.03303724,0.043563859,0.029507811,0.020030071
"Ohio, IN",2016,0,0,0,0,0
"Orange, IN",2016,0.005763483,0.00970473,0.014427637,0.011094321,0.006771977
"Owen, IN",2016,0.004170706,0.011809317,0.016116494,0.0069745,0.004439894
"Parke, IN",2016,0.00222249,0.007374324,0.011165048,0.004968655,0.001979566
"Perry, IN",2016,0.00770574,0.00987031,0.013818212,0.009029004,0.006642621
"Pike, IN",2016,0.007495284,0.005126599,0.006714238,0.003189888,0.003090928
"Porter, IN",2016,0.077475199,0.172332073,0.172274011,0.106713902,0.078736081
"Posey, IN",2016,0.016651535,0.019977232,0.020738408,0.013051506,0.012491928
"Pulaski, IN",2016,0.005128767,0.006332451,0.007129323,0.005726929,0.004117743
"Putnam, IN",2016,0.01119948,0.023480168,0.032474857,0.02196562,0.013546233
"Randolph, IN",2016,0.007087381,0.015401799,0.020370852,0.010671255,0.006401029
"Ripley, IN",2016,0.011228996,0.019066607,0.024098167,0.019300171,0.015191171
"Rush, IN",2016,0.004519771,0.010029704,0.011366781,0.007413785,0.004492935
"Scott, IN",2016,0.006180657,0.013549816,0.019127709,0.011149738,0.007371185
"Shelby, IN",2016,0.020378656,0.034102981,0.040580105,0.029582152,0.022269488
"Spencer, IN",2016,0.012807441,0.012964231,0.015127895,0.010441475,0.006716229
"St. Joseph, IN",2016,0.150150486,0.250760609,0.279745119,0.213208838,0.165281438
"Starke, IN",2016,0.003804834,0.011646435,0.018260572,0.007115071,0.003205072
"Steuben, IN",2016,0.014047207,0.024564489,0.029804794,0.025046024,0.015202109
"Sullivan, IN",2016,0.009754526,0.010017397,0.015748938,0.007920653,0.005470754
"Switzerland, IN",2016,0.001141072,0.001654638,0.004337797,0.001689559,0.001059745
"Tippecanoe, IN",2016,0.102849925,0.141883788,0.188755949,0.146473958,0.116771878
"Tipton, IN",2016,0.004250627,0.00929633,0.009844803,0.00602294,0.004174772
"Union, IN",2016,0.000141071,0.000649641,0.00128539,0.000324395,5.17E-05
"Vanderburgh, IN",2016,0.119307429,0.161842659,0.184077001,0.174074595,0.142720222
"Vermillion, IN",2016,0.008576288,0.007019582,0.010246157,0.005360633,0.004768141
"Vigo, IN",2016,0.050786007,0.07867197,0.107321128,0.079782331,0.058075781
"Wabash, IN",2016,0.011757921,0.021921394,0.027161135,0.019466424,0.011877452
"Warren, IN",2016,0.00135889,0.002328739,0.002504241,0.001404361,0.000861509
"Warrick, IN",2016,0.023221333,0.065421878,0.059734219,0.029761921,0.020746557
"Washington, IN",2016,0.005531459,0.016305821,0.023029297,0.01034686,0.00509334
"Wayne, IN",2016,0.028825318,0.050301683,0.064678272,0.04910129,0.03334303
"Wells, IN",2016,0.011048539,0.018896662,0.023200401,0.016873964,0.010841151
"White, IN",2016,0.009842983,0.016140811,0.019506883,0.014322054,0.009276971
"Whitley, IN",2016,0.013513866,0.025478909,0.029071794,0.019996269,0.013699004
"Adams, IN",2017,0.018077877,0.023368265,0.0309699,0.02524436,0.014374852
"Allen, IN",2017,0.232155777,0.345844982,0.386742894,0.318665939,0.250080969
"Bartholomew, IN",2017,0.070329016,0.081441012,0.078694266,0.078835859,0.076348229
"Benton, IN",2017,0.003238146,0.00214929,0.002857985,0.002403654,0.001471015
"Blackford, IN",2017,0.002049226,0.004290422,0.006666534,0.003515594,0.002297227
"Boone, IN",2017,0.033545566,0.094980368,0.064193453,0.052166618,0.034995628
"Brown, IN",2017,0.001733838,0.009610194,0.009847669,0.004691453,0.001156168
"Carroll, IN",2017,0.005568087,0.012355773,0.014941471,0.008148454,0.004514795
"Cass, IN",2017,0.014060637,0.025106555,0.033804803,0.022345327,0.014944413
"Clark, IN",2017,0.058399361,0.101178507,0.11771038,0.088363917,0.063626538
"Clay, IN",2017,0.007551262,0.015827834,0.021425446,0.011782566,0.006764434
"Clinton, IN",2017,0.015791793,0.020224686,0.028260899,0.016973393,0.011650392
"Crawford, IN",2017,0.000649743,0.002534526,0.004802129,0.001741817,0.000584206
"Daviess, IN",2017,0.012664564,0.023666657,0.028500114,0.020797933,0.011410922
"DeKalb, IN",2017,0.026597827,0.033888336,0.03847998,0.034494101,0.028530769
"Dearborn, IN",2017,0.018747508,0.043210168,0.046575506,0.024068501,0.014586941
"Decatur, IN",2017,0.0163602,0.018304528,0.021681448,0.020670093,0.017166454
"Delaware, IN",2017,0.043727041,0.082508177,0.11345278,0.077698618,0.053108587
"Dubois, IN",2017,0.029831758,0.043826667,0.03922805,0.044797188,0.03454486
"Elkhart, IN",2017,0.184437793,0.191269193,0.208731543,0.213492423,0.195749126
"Fayette, IN",2017,0.005039955,0.014203485,0.018428968,0.009047327,0.005537388
