GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Putnam, IN",2010,0.009082219,0.022770024,0.035379384,0.020682963,0.011792733
"Randolph, IN",2010,0.006883372,0.014905302,0.022353834,0.011704198,0.006601001
"Ripley, IN",2010,0.012966608,0.020045187,0.025303414,0.022005189,0.017881285
"Rush, IN",2010,0.004126941,0.009255215,0.012571598,0.007126471,0.004019956
"Scott, IN",2010,0.005155207,0.012149862,0.020137476,0.009785646,0.005786198
"Shelby, IN",2010,0.017372366,0.033578571,0.042518013,0.028159869,0.019872916
"Spencer, IN",2010,0.013662411,0.013094741,0.016489165,0.010982717,0.007077141
"St. Joseph, IN",2010,0.133420904,0.241966539,0.290109171,0.217164489,0.167847202
"Starke, IN",2010,0.003376658,0.011314943,0.019215107,0.00677751,0.003033401
"Steuben, IN",2010,0.011837183,0.022555213,0.031171421,0.024238837,0.013742023
"Sullivan, IN",2010,0.009107423,0.010479678,0.017031016,0.009021465,0.006230381
"Switzerland, IN",2010,0.000919636,0.001119985,0.005125883,0.002027511,0.001200437
"Tippecanoe, IN",2010,0.084132778,0.135636944,0.185592119,0.140710998,0.111292128
"Tipton, IN",2010,0.002753371,0.00802245,0.010898203,0.005821915,0.003612747
"Union, IN",2010,0,0,0.001613312,0.00058602,0
"Vanderburgh, IN",2010,0.115121886,0.178407527,0.193271486,0.183762836,0.154026916
"Vermillion, IN",2010,0.008377099,0.007919036,0.011163009,0.005533322,0.005776832
"Vigo, IN",2010,0.051913376,0.084734589,0.113256755,0.087857317,0.065636405
"Wabash, IN",2010,0.010020183,0.021834805,0.029782859,0.020361978,0.011781648
"Warren, IN",2010,0.000909625,0.002092167,0.002714815,0.001008602,0.000718999
"Warrick, IN",2010,0.023838056,0.060210927,0.059827186,0.029230312,0.019801178
"Washington, IN",2010,0.003693459,0.015320686,0.024712608,0.010274487,0.004689913
"Wayne, IN",2010,0.027541008,0.050900785,0.069905382,0.050781998,0.03437635
"Wells, IN",2010,0.009685686,0.018287211,0.024027228,0.017671882,0.011391418
"White, IN",2010,0.007928449,0.016006393,0.020707143,0.01437957,0.008381661
"Whitley, IN",2010,0.010767508,0.023856318,0.030335836,0.01978332,0.012596696
"Adams, IN",2011,0.012596562,0.021068322,0.031230592,0.023968731,0.01290013
